id,name,neighborhood,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,id,business_id,user_id,stars,date,useful,funny,cool,id,name,review_count,yelping_since,useful,funny,cool,fans,average_stars,compliment_hot,compliment_more,compliment_profile,compliment_cute,compliment_list,compliment_note,compliment_plain,compliment_cool,compliment_funny,compliment_writer,compliment_photos
dZB5VuI4mCVRz8qQUwUgCg,"Krazy Sushi",Centennial,"7160 N Durango Dr, Ste 140","Las Vegas",NV,89149,36.2915,-115.287,3.5,300,1,HT7owxeVvpry33QQuzzgiw,dZB5VuI4mCVRz8qQUwUgCg,---1lKK3aKOuomHnwAkAow,1,"2011-01-07 00:00:00",2,5,0,---1lKK3aKOuomHnwAkAow,Monera,246,"2007-06-04 00:00:00",67,22,9,15,3.96,2,3,2,1,0,5,9,9,9,9,0
78XbdLi5e42XDxgnxuYacg,"Ohjah Japanese Steakhouse Sushi & Hibachi Flamingo","Spring Valley","10144 W Flamingo Rd","Las Vegas",NV,89147,36.1154,-115.314,4.5,299,1,Ae-9qKGqf4mCqH1iC7KZ_w,78XbdLi5e42XDxgnxuYacg,--9yZb1OLNN18HyDXgZrJA,4,"2015-05-11 00:00:00",1,0,1,--9yZb1OLNN18HyDXgZrJA,Gwen,1,"2013-06-25 00:00:00",3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
pDSl9xdKJCdN4vu8z26cEA,"Coyote Ugly Saloon","The Strip","3790 Las Vegas Blvd S","Las Vegas",NV,89109,36.1015,-115.174,2.5,297,1,rcrCNE-NZjoOgsJqWH7Rpw,pDSl9xdKJCdN4vu8z26cEA,-2I3g_02MgHUOlcyKMaKsQ,1,"2016-11-10 00:00:00",1,1,1,-2I3g_02MgHUOlcyKMaKsQ,Ryan,9,"2014-09-06 00:00:00",1,0,0,0,3.89,0,0,0,0,0,0,0,0,0,0,0
fTtkz2RhWNAp6jKiIzXf_A,"Capriotti's Sandwich Shop","The Strip","322 W. Sahara","Las Vegas",NV,89102,36.1441,-115.161,4,296,1,Pkj0uXel--45QiKftgZKNQ,fTtkz2RhWNAp6jKiIzXf_A,-3pWqiEny095RW4rFSBCJA,5,"2011-10-29 00:00:00",1,0,0,-3pWqiEny095RW4rFSBCJA,Ray,5,"2011-09-01 00:00:00",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
SzzrUeJGnl_LQAJXMK8wQw,"Omoide Noodles & Bowls",Southwest,"7745 S Rainbow Blvd","Las Vegas",NV,89139,36.0477,-115.244,3.5,295,1,vY2A9ylViJjfOps9vsUclQ,SzzrUeJGnl_LQAJXMK8wQw,-3V9YfGiS9hL5eZGp9_TTg,4,"2016-01-24 00:00:00",0,0,0,-3V9YfGiS9hL5eZGp9_TTg,Brooke,9,"2014-08-22 00:00:00",0,0,0,0,3.67,0,0,0,0,0,1,0,0,0,0,0
AoGCnRtwifZ2gTGHtg8KTw,"Tokyo Sushi House",Summerlin,"10040 W Cheyenne Ave, Ste 150","Las Vegas",NV,89129,36.2189,-115.314,3,298,0,hC6V4-MsrmdlCcOkZ7JiFA,AoGCnRtwifZ2gTGHtg8KTw,-4B1rRNS18CcA7duD2tp9A,1,"2016-08-23 00:00:00",0,0,0,-4B1rRNS18CcA7duD2tp9A,Antonia,8,"2013-08-07 00:00:00",0,0,0,0,3.88,0,0,0,0,0,0,0,0,0,0,0
dZB5VuI4mCVRz8qQUwUgCg,"Krazy Sushi",Centennial,"7160 N Durango Dr, Ste 140","Las Vegas",NV,89149,36.2915,-115.287,3.5,300,1,Rn-qz-s50nwdSZq6NVWz1g,dZB5VuI4mCVRz8qQUwUgCg,-4JDJeFS0YAYSiSvIshGLQ,2,"2013-08-18 00:00:00",0,0,0,-4JDJeFS0YAYSiSvIshGLQ,William,88,"2013-08-18 00:00:00",51,3,2,0,3.45,0,0,0,0,0,0,2,0,0,0,0
W90h9VXUSdRz1_uJhweVPQ,Yusho,"The Strip","3770 Las Vegas Blvd S","Las Vegas",NV,89109,36.1045,-115.177,3,297,0,ZsnRmp8RgroprdPljHuTBw,W90h9VXUSdRz1_uJhweVPQ,-4JDJeFS0YAYSiSvIshGLQ,4,"2014-05-18 00:00:00",0,0,1,-4JDJeFS0YAYSiSvIshGLQ,William,88,"2013-08-18 00:00:00",51,3,2,0,3.45,0,0,0,0,0,0,2,0,0,0,0
fTtkz2RhWNAp6jKiIzXf_A,"Capriotti's Sandwich Shop","The Strip","322 W. Sahara","Las Vegas",NV,89102,36.1441,-115.161,4,296,1,Pbf2-CHmABpbt6PZZpjMDg,fTtkz2RhWNAp6jKiIzXf_A,-50XWnmQGqBgEI-9ANvLlg,5,"2014-07-22 00:00:00",2,1,1,-50XWnmQGqBgEI-9ANvLlg,Lalena,228,"2014-02-20 00:00:00",467,102,218,26,3.95,12,3,0,1,1,6,28,27,27,13,4
Po0QGzgwFrfnGJEi_akCjA,"KG BBQ",Chinatown,"4355 Spring Mountain Rd, Ste 201","Las Vegas",NV,89102,36.1259,-115.198,3,299,1,lKbcl3hlWzQTD3EbUXQolg,Po0QGzgwFrfnGJEi_akCjA,-594af_E7Z9VVjQc9pJK3g,1,"2015-06-04 00:00:00",1,1,1,-594af_E7Z9VVjQc9pJK3g,Andrea,189,"2012-10-30 00:00:00",77,3,42,10,3.92,1,2,0,1,0,2,6,6,6,4,0
